"row_names","CompanyID","Column_Rating","Company_Name","Location","HQ_Address","Size","Founded","type_of_ownership","Industry","Sector","Revenue","Competitors","company_txt","Company_Age"
"128",157,3.4,"PA Consulting
3.4","New York, NY","London, United Kingdom","1001 - 5000 ",1943,"Company - Private","Consulting","Business Services","$100 to $500 million (USD)","McKinsey & Company, Accenture, Deloitte","PA Consulting",78
"129",161,5,"Gridiron IT
5.0","Tampa, FL","Reston, VA","51 - 200 ",2017,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1","Gridiron IT",4
"130",162,4.3,"Productive Edge
4.3","Chicago, IL","Chicago, IL","51 - 200 ",2008,"Company - Private","Computer Hardware & Software","Information Technology","$10 to $25 million (USD)","Numerator, Rise Interactive, Salom","Productive Edge",13
"131",164,3.7,"Evolve Vacation Rental
3.7","Denver, CO","Denver, CO","201 - 500 ",2011,"Company - Private","Travel Agencies","Travel & Tourism","Unknown / Non-Applicable","-1","Evolve Vacation Rental",10
"132",166,4.2,"The Church of Jesus Christ of Latter-day Saints
4.2","Riverton, UT","Salt Lake City, UT","10000+ ",-1,"Nonprofit Organization","Religious Organizations","Non-Profit","Unknown / Non-Applicable","-1","The Church of Jesus Christ of Latter-day Saints",-1
"133",167,4.3,"Maximus Real Estate Partners
4.3","San Francisco, CA","San Francisco, CA","51 - 200 ",2013,"Company - Private","Real Estate","Real Estate","Unknown / Non-Applicable","Greystar, The Related Companies, Prometheus Real Estate Group","Maximus Real Estate Partners",8
"134",168,2.6,"Software Engineering Institute
2.6","Pittsburgh, PA","Pittsburgh, PA","501 - 1000 ",1984,"College / University","Colleges & Universities","Education","Unknown / Non-Applicable","-1","Software Engineering Institute",37
"135",169,3.8,"PNNL
3.8","Richland, WA","Richland, WA","1001 - 5000 ",1965,"Government","Energy","Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory","PNNL",56
"136",170,3.9,"AVANADE
3.9","Washington, DC","Seattle, WA","10000+ ",2000,"Company - Private","IT Services","Information Technology","$2 to $5 billion (USD)","Slalom, Cognizant Technology Solutions, Deloitte","AVANADE",21
"137",172,3.8,"PatientPoint
3.8","Cincinnati, OH","Cincinnati, OH","201 - 500 ",1987,"Company - Private","Advertising & Marketing","Business Services","$100 to $500 million (USD)","Outcome Health, Health Media Network, Mesmerize Marketing","PatientPoint",34
"138",174,3.8,"BlueCross BlueShield of Tennessee
3.8","Chattanooga, TN","Chattanooga, TN","5001 - 10000 ",1945,"Nonprofit Organization","Insurance Carriers","Insurance","$5 to $10 billion (USD)","-1","BlueCross BlueShield of Tennessee",76
"139",175,3.8,"PNNL
3.8","Richland, WA","Richland, WA","1001 - 5000 ",1965,"Government","Energy","Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory","PNNL",56
"140",177,4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL","501 - 1000 ",2010,"Company - Private","Security Services","Business Services","$100 to $500 million (USD)","-1","KnowBe4",11
"141",178,4.4,"KSM Consulting
4.4","Indianapolis, IN","Indianapolis, IN","51 - 200 ",2008,"Company - Private","Consulting","Business Services","Unknown / Non-Applicable","-1","KSM Consulting",13
"142",179,3.9,"Cogo Labs
3.9","Cambridge, MA","Cambridge, MA","51 - 200 ",2005,"Company - Private","Internet","Information Technology","Unknown / Non-Applicable","-1","Cogo Labs",16
"143",180,3.4,"Church & Dwight
3.4","Ewing, NJ","Ewing, NJ","1001 - 5000 ",1846,"Company - Public","Consumer Products Manufacturing","Manufacturing","$2 to $5 billion (USD)","-1","Church & Dwight",175
"144",181,3.6,"MassMutual
3.6","Boston, MA","Springfield, MA","5001 - 10000 ",1851,"Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","-1","MassMutual",170
"145",182,3.9,"Genentech
3.9","South San Francisco, CA","South San Francisco, CA","10000+ ",1976,"Subsidiary or Business Segment","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","-1","Genentech",45
"146",183,3.8,"Juniper Networks
3.8","Cupertino, CA","Sunnyvale, CA","5001 - 10000 ",1996,"Company - Public","Telecommunications Services","Telecommunications","$2 to $5 billion (USD)","-1","Juniper Networks",25
"147",185,3.7,"Takeda Pharmaceuticals
3.7","Boston, MA","OSAKA, Japan","10000+ ",1781,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Novartis, Baxter, Pfizer","Takeda Pharmaceuticals",240
"148",187,3.8,"Legal & General America
3.8","Frederick, MD","Frederick, MD","501 - 1000 ",1981,"Company - Private","Insurance Carriers","Insurance","$500 million to $1 billion (USD)","-1","Legal & General America",40
"149",188,3.5,"Western Digital
3.5","San Jose, CA","San Jose, CA","10000+ ",1970,"Company - Public","Computer Hardware & Software","Information Technology","$10+ billion (USD)","Seagate Technology, Toshiba","Western Digital",51
"150",192,4.2,"The Church of Jesus Christ of Latter-day Saints
4.2","Riverton, UT","Salt Lake City, UT","10000+ ",-1,"Nonprofit Organization","Religious Organizations","Non-Profit","Unknown / Non-Applicable","-1","The Church of Jesus Christ of Latter-day Saints",-1
"151",193,3.5,"Sunovion
3.5","Marlborough, MA","Marlborough, MA","1001 - 5000 ",2010,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $2 billion (USD)","Shire, GlaxoSmithKline, Allergan","Sunovion",11
"152",194,2.9,"National Student Clearinghouse
2.9","Herndon, VA","Herndon, VA","201 - 500 ",1993,"Nonprofit Organization","Colleges & Universities","Education","$25 to $50 million (USD)","Ellucian, Parchment, College Board","National Student Clearinghouse",28
"153",197,3.6,"Tower Health
3.6","West Reading, PA","Reading, PA","5001 - 10000 ",2017,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","-1","Tower Health",4
"154",198,2.7,"State of Wisconsin Investment Board
2.7","Madison, WI","Madison, WI","51 - 200 ",1951,"Government","Investment Banking & Asset Management","Finance","$50 to $100 million (USD)","-1","State of Wisconsin Investment Board",70
"155",199,4.4,"Rubius Therapeutics
4.4","Cambridge, MA","Cambridge, MA","201 - 500 ",2013,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)","-1","Rubius Therapeutics",8
"156",200,4,"Autodesk
4.0","San Francisco, CA","San Rafael, CA","5001 - 10000 ",1982,"Company - Public","Computer Hardware & Software","Information Technology","$2 to $5 billion (USD)","-1","Autodesk",39
"157",201,4.3,"OneMagnify
4.3","Dearborn, MI","Detroit, MI","201 - 500 ",1967,"Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable","-1","OneMagnify",54
"158",202,4.2,"IZEA
4.2","Winter Park, FL","Winter Park, FL","51 - 200 ",2006,"Company - Public","Advertising & Marketing","Business Services","$25 to $50 million (USD)","Linqia, Collective Bias","IZEA",15
"159",203,3.6,"Vionic Group
3.6","San Rafael, CA","San Rafael, CA","51 - 200 ",2006,"Subsidiary or Business Segment","Department, Clothing, & Shoe Stores","Retail","$100 to $500 million (USD)","-1","Vionic Group",15
"160",204,3.7,"Takeda Pharmaceuticals
3.7","San Diego, CA","OSAKA, Japan","10000+ ",1781,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Novartis, Baxter, Pfizer","Takeda Pharmaceuticals",240
"161",205,2.8,"Dodge Data & Analytics
2.8","Hamilton, NJ","Hamilton, NJ","201 - 500 ",2014,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1","Dodge Data & Analytics",7
"162",206,3.7,"Takeda Pharmaceuticals
3.7","Boston, MA","OSAKA, Japan","10000+ ",1781,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Novartis, Baxter, Pfizer","Takeda Pharmaceuticals",240
"163",207,3.3,"Plymouth Rock Assurance
3.3","Woodbridge, NJ","Boston, MA","1001 - 5000 ",1982,"Company - Private","Insurance Carriers","Insurance","$10 to $25 million (USD)","Arbella Insurance, Safety Insurance","Plymouth Rock Assurance",39
"164",208,-1,"CA-One Tech Cloud","San Francisco, CA","Fremont, CA","51 - 200 ",2017,"Company - Private","IT Services","Information Technology","$5 to $10 million (USD)","-1","CA-One Tech Clou",4
"165",209,3.6,"Beebe Healthcare
3.6","Lewes, DE","Lewes, DE","1001 - 5000 ",1935,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","$100 to $500 million (USD)","-1","Beebe Healthcare",86
"166",210,3.7,"Takeda Pharmaceuticals
3.7","Boston, MA","OSAKA, Japan","10000+ ",1781,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Novartis, Baxter, Pfizer","Takeda Pharmaceuticals",240
"167",211,3.4,"Argo Group US
3.4","New York, NY","Hamilton, Bermuda","1001 - 5000 ",1948,"Company - Public","Insurance Carriers","Insurance","$1 to $2 billion (USD)","-1","Argo Group US",73
"168",212,4.1,"Associated Electric Cooperative
4.1","Springfield, MO","Springfield, MO","501 - 1000 ",1961,"Company - Private","Energy","Oil, Gas, Energy & Utilities","$1 to $2 billion (USD)","-1","Associated Electric Cooperative",60
"169",213,2.6,"Software Engineering Institute
2.6","Pittsburgh, PA","Pittsburgh, PA","501 - 1000 ",1984,"College / University","Colleges & Universities","Education","Unknown / Non-Applicable","-1","Software Engineering Institute",37
"170",215,3.2,"PennyMac
3.2","Phoenix, AZ","Westlake Village, CA","1001 - 5000 ",2008,"Company - Public","Lending","Finance","$500 million to $1 billion (USD)","Nationstar Mortgage, Caliber Funding, Quicken Loans","PennyMac",13
"171",216,3.9,"Zest AI
3.9","Burbank, CA","Burbank, CA","51 - 200 ",2009,"Company - Private","Financial Analytics & Research","Finance","$50 to $100 million (USD)","-1","Zest AI",12
"172",217,4.7,"DECISIVE ANALYTICS Corporation
4.7","Huntsville, AL","Arlington, VA","51 - 200 ",1996,"Company - Private","Aerospace & Defense","Aerospace & Defense","$25 to $50 million (USD)","Torch Technologies, American Systems","DECISIVE ANALYTICS Corporation",25
"173",221,3.7,"The Hanover Insurance Group
3.7","Worcester, MA","Worcester, MA","5001 - 10000 ",1852,"Company - Public","Insurance Carriers","Insurance","$5 to $10 billion (USD)","-1","The Hanover Insurance Group",169
"174",223,2.9,"Karyopharm Therapeutics Inc.
2.9","Newton, MA","Newton, MA","201 - 500 ",-1,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","-1","Karyopharm Therapeutics Inc.",-1
"175",224,3,"Tempus Labs
3.0","Chicago, IL","Chicago, IL","501 - 1000 ",2015,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","-1","Tempus Labs",6
"176",225,4.7,"Recursion Pharmaceuticals
4.7","Salt Lake City, UT","Salt Lake City, UT","51 - 200 ",2013,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $5 million (USD)","-1","Recursion Pharmaceuticals",8
"177",226,3.7,"P2 Energy Solutions
3.7","Lafayette, LA","Denver, CO","501 - 1000 ",-1,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","-1","P2 Energy Solutions",-1
"178",228,3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY","10000+ ",2014,"Hospital","Health Care Services & Hospitals","Health Care","$500 million to $1 billion (USD)","-1","Rochester Regional Health",7
"179",229,4,"ClearEdge
4.0","Annapolis Junction, MD","Annapolis Junction, MD","51 - 200 ",2002,"Company - Private","Computer Hardware & Software","Information Technology","$5 to $10 million (USD)","-1","ClearEdge",19
"180",230,4.4,"Rubius Therapeutics
4.4","Cambridge, MA","Cambridge, MA","201 - 500 ",2013,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)","-1","Rubius Therapeutics",8
"181",233,3.9,"Tapjoy
3.9","San Francisco, CA","San Francisco, CA","201 - 500 ",2007,"Company - Private","Internet","Information Technology","$10 to $25 million (USD)","FLURRY, Chartboost","Tapjoy",14
"182",234,3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY","10000+ ",2014,"Hospital","Health Care Services & Hospitals","Health Care","$500 million to $1 billion (USD)","-1","Rochester Regional Health",7
"183",235,4.1,"Credit Sesame
4.1","Mountain View, CA","Mountain View, CA","51 - 200 ",2010,"Company - Private","Internet","Information Technology","$50 to $100 million (USD)","Credit Karma, LendUp, SoFi","Credit Sesame",11
"184",239,3.6,"San Manuel Casino
3.6","Highland, CA","Highland, CA","1001 - 5000 ",1986,"Company - Private","Gambling","Arts, Entertainment & Recreation","$100 to $500 million (USD)","-1","San Manuel Casino",35
"185",240,4,"Texas Health Huguley Hospital
4.0","Burleson, TX","Arlington, TX","1001 - 5000 ",1977,"Hospital","Health Care Services & Hospitals","Health Care","$50 to $100 million (USD)","-1","Texas Health Huguley Hospital",44
"186",242,2.4,"Teasdale Latin Foods
2.4","Hoopeston, IL","Flower Mound, TX","501 - 1000 ",-1,"Company - Private","Food & Beverage Manufacturing","Manufacturing","$100 to $500 million (USD)","-1","Teasdale Latin Foods",-1
"187",243,2.6,"Software Engineering Institute
2.6","Pittsburgh, PA","Pittsburgh, PA","501 - 1000 ",1984,"College / University","Colleges & Universities","Education","Unknown / Non-Applicable","-1","Software Engineering Institute",37
"188",245,3.5,"Central California Alliance for Health
3.5","Scotts Valley, CA","Scotts Valley, CA","501 - 1000 ",1996,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","$500 million to $1 billion (USD)","-1","Central California Alliance for Health",25
"189",246,3,"Pilot Flying J Travel Centers LLC
3.0","Knoxville, TN","Knoxville, TN","10000+ ",1958,"Company - Private","Gas Stations","Retail","$10+ billion (USD)","TravelCenters of America, Love's Travel Stops & Country Stores, Wawa","Pilot Flying J Travel Centers LLC",63
"190",247,3.6,"Beebe Healthcare
3.6","Millville, DE","Lewes, DE","1001 - 5000 ",1935,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","$100 to $500 million (USD)","-1","Beebe Healthcare",86
"191",248,3.3,"Palermo's Pizza
3.3","Milwaukee, WI","Milwaukee, WI","501 - 1000 ",1964,"Company - Private","Food & Beverage Manufacturing","Manufacturing","Unknown / Non-Applicable","-1","Palermo's Pizza",57
"192",250,2.7,"Advanced BioScience Laboratories
2.7","Rockville, MD","Rockville, MD","201 - 500 ",1961,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$25 to $50 million (USD)","-1","Advanced BioScience Laboratories",60
"193",251,3.4,"Echo Global Logistics
3.4","Chicago, IL","Chicago, IL","1001 - 5000 ",2005,"Company - Public","Transportation Management","Transportation & Logistics","$2 to $5 billion (USD)","C.H. Robinson, Total Quality Logistics, Coyote Logistics","Echo Global Logistics",16
"194",254,3.7,"Lockheed Martin
3.7","Herndon, VA","Bethesda, MD","10000+ ",1995,"Company - Public","Aerospace & Defense","Aerospace & Defense","$10+ billion (USD)","Boeing, Northrop Grumman, Raytheon","Lockheed Martin",26
"195",255,4.8,"Acuity Insurance
4.8","Sheboygan, WI","Sheboygan, WI","1001 - 5000 ",1925,"Company - Private","Insurance Carriers","Insurance","$1 to $2 billion (USD)","-1","Acuity Insurance",96
"196",256,3.8,"Fareportal
3.8","New York, NY","New York, NY","1001 - 5000 ",2002,"Company - Private","Travel Agencies","Travel & Tourism","$2 to $5 billion (USD)","Expedia Group, Orbitz Worldwide, Priceline.com","Fareportal",19
"197",257,3.4,"Veterans Affairs, Veterans Health Administration
3.4","New Orleans, LA","Washington, DC","10000+ ",1930,"Government","Federal Agencies","Government","Unknown / Non-Applicable","-1","Veterans Affairs, Veterans Health Administration",91
"198",258,4.3,"Credera
4.3","Dallas, TX","Dallas, TX","201 - 500 ",1999,"Subsidiary or Business Segment","Consulting","Business Services","Unknown / Non-Applicable","-1","Credera",22
"199",263,3.4,"Spectrum Communications and Consulting
3.4","Chicago, IL","Chicago, IL","51 - 200 ",1992,"Company - Private","Advertising & Marketing","Business Services","$10 to $25 million (USD)","-1","Spectrum Communications and Consulting",29
"200",264,3.1,"NCSOFT
3.1","San Mateo, CA","Seoul, South Korea","1001 - 5000 ",1997,"Company - Public","Video Games","Media","$10+ billion (USD)","Blizzard Entertainment, Riot Games, Electronic Arts","NCSOFT",24
"201",265,3.2,"MITRE
3.2","McLean, VA","Bedford, MA","5001 - 10000 ",1958,"Nonprofit Organization","Federal Agencies","Government","$1 to $2 billion (USD)","Battelle, General Atomics, SAIC","MITRE",63
"202",266,4.3,"Dayton Freight Lines, Inc.
4.3","Dayton, OH","Dayton, OH","1001 - 5000 ",1981,"Company - Private","Trucking","Transportation & Logistics","Unknown / Non-Applicable","Old Dominion Freight, Pitt Ohio Express","Dayton Freight Lines, Inc.",40
"203",270,2.8,"Community Action Partnership of San Luis Obispo
2.8","Parlier, CA","San Luis Obispo, CA","501 - 1000 ",-1,"Nonprofit Organization","Social Assistance","Non-Profit","$50 to $100 million (USD)","-1","Community Action Partnership of San Luis Obispo",-1
"204",274,3.4,"TrueAccord
3.4","San Francisco, CA","San Francisco, CA","51 - 200 ",2013,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1","TrueAccord",8
"205",275,4,"DRB Systems
4.0","Meridian, ID","Akron, OH","201 - 500 ",1984,"Company - Private","Computer Hardware & Software","Information Technology","$50 to $100 million (USD)","-1","DRB Systems",37
"206",278,3.7,"Corcentric
3.7","Cherry Hill, NJ","Cherry Hill, NJ","201 - 500 ",1996,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1","Corcentric",25
"207",281,3.5,"U.Group
3.5","Indianapolis, IN","Arlington, VA","201 - 500 ",2019,"Company - Private","IT Services","Information Technology","$25 to $50 million (USD)","-1","U.Group",2
"208",288,4.7,"Systems Evolution Inc.
4.7","New York, NY","Cincinnati, OH","201 - 500 ",1992,"Company - Private","Consulting","Business Services","$50 to $100 million (USD)","-1","Systems Evolution Inc.",29
"209",290,4.4,"Eventbrite
4.4","Nashville, TN","San Francisco, CA","1001 - 5000 ",2006,"Company - Public","Internet","Information Technology","$100 to $500 million (USD)","See Tickets, TicketWeb, Vendini","Eventbrite",15
"210",291,4.1,"Centro
4.1","Chicago, IL","Chicago, IL","501 - 1000 ",2001,"Company - Private","Internet","Information Technology","$100 to $500 million (USD)","Mediaocean, The Trade Desk, MediaMath","Centro",20
"211",293,2.5,"comScore
2.5","Portland, OR","Reston, VA","1001 - 5000 ",1999,"Company - Public","Advertising & Marketing","Business Services","$1 to $2 billion (USD)","Nielsen, Hitwise, Coremetrics","comScore",22
"212",295,4.2,"SullivanCotter
4.2","Minneapolis, MN","Chicago, IL","201 - 500 ",1992,"Company - Private","Consulting","Business Services","Unknown / Non-Applicable","Mercer, Korn Ferry, Integrated Healthcare Strategies","SullivanCotter",29
"213",296,3.9,"NPD
3.9","Port Washington, NY","Port Washington, NY","1001 - 5000 ",1966,"Company - Private","Research & Development","Business Services","$100 to $500 million (USD)","-1","NPD",55
"214",299,4.3,"Bakery Agency
4.3","Austin, TX","Austin, TX","1 - 50 ",2010,"Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable","-1","Bakery Agency",11
"215",302,3.9,"Genentech
3.9","South San Francisco, CA","South San Francisco, CA","10000+ ",1976,"Subsidiary or Business Segment","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","-1","Genentech",45
"216",305,3.4,"Blue Cross & Blue Shield of Rhode Island
3.4","Providence, RI","Providence, RI","501 - 1000 ",1939,"Nonprofit Organization","Insurance Carriers","Insurance","Unknown / Non-Applicable","UnitedHealth Group","Blue Cross & Blue Shield of Rhode Island",82
"217",306,3.8,"Boys Town
3.8","Omaha, NE","Omaha, NE","1001 - 5000 ",1917,"Nonprofit Organization","Social Assistance","Non-Profit","Unknown / Non-Applicable","Boys & Girls Clubs of America, AdoptUSKids, Foster Care to Success","Boys Town",104
"218",308,3.3,"The HSC Health Care System
3.3","Washington, DC","Washington, DC","501 - 1000 ",1883,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","-1","The HSC Health Care System",138
"219",309,3.4,"Pro-Sphere Tek
3.4","Austin, TX","Alexandria, VA","201 - 500 ",2006,"Company - Private","Consulting","Business Services","$50 to $100 million (USD)","-1","Pro-Sphere Tek",15
"220",310,3,"Ameritas Life Insurance Corp
3.0","Cincinnati, OH","Lincoln, NE","1001 - 5000 ",1887,"Company - Private","Insurance Agencies & Brokerages","Insurance","$2 to $5 billion (USD)","-1","Ameritas Life Insurance Corp",134
"221",312,3.7,"Genworth
3.7","Raleigh, NC","Richmond, VA","1001 - 5000 ",2004,"Company - Public","Insurance Carriers","Insurance","$5 to $10 billion (USD)","MetLife, Northwestern Mutual, Prudential","Genworth",17
"222",318,3.2,"Numeric, LLC
3.2","Phila, PA","Chadds Ford, PA","1 - 50 ",-1,"Company - Private","Staffing & Outsourcing","Business Services","$5 to $10 million (USD)","-1","Numeric, LLC",-1
"223",320,3.9,"Trace Data
3.9","Oakland, CA","Santa Ana, CA","51 - 200 ",2000,"Company - Private","Insurance Carriers","Insurance","$10 to $25 million (USD)","-1","Trace Data",21
"224",326,4.2,"Clearwater Analytics
4.2","Boise, ID","Boise, ID","501 - 1000 ",2004,"Company - Private","Investment Banking & Asset Management","Finance","$50 to $100 million (USD)","-1","Clearwater Analytics",17
"225",328,4,"Tekvalley, Corp.
4.0","San Francisco, CA","Pleasanton, CA","1 - 50 ",-1,"Company - Private","IT Services","Information Technology","Less than $1 million (USD)","-1","Tekvalley, Corp.",-1
"226",330,3.5,"BWX Technologies
3.5","Oak Ridge, TN","Lynchburg, VA","5001 - 10000 ",1850,"Company - Public","Aerospace & Defense","Aerospace & Defense","$500 million to $1 billion (USD)","-1","BWX Technologies",171
"227",332,3.2,"PennyMac
3.2","Agoura Hills, CA","Westlake Village, CA","1001 - 5000 ",2008,"Company - Public","Lending","Finance","$500 million to $1 billion (USD)","Nationstar Mortgage, Caliber Funding, Quicken Loans","PennyMac",13
"228",334,3.9,"Vermeer
3.9","Pella, IA","Pella, IA","1001 - 5000 ",1948,"Company - Private","Industrial Manufacturing","Manufacturing","$1 to $2 billion (USD)","Caterpillar, John Deere, CNH Industrial","Vermeer",73
"229",341,3.5,"L&T Infotech
3.5","San Ramon, CA","Mumbai, India","10000+ ",1997,"Company - Public","IT Services","Information Technology","Unknown / Non-Applicable","Infosys, Accenture, Capgemini","L&T Infotech",24
"230",342,4.3,"OceanFirst Financial
4.3","Red Bank, NJ","Toms River, NJ","501 - 1000 ",1902,"Company - Public","Banks & Credit Unions","Finance","$5 to $10 billion (USD)","-1","OceanFirst Financial",119
"231",347,3.6,"Sotheby's
3.6","New York, NY","New York, NY","1001 - 5000 ",1744,"Company - Public","Auctions & Galleries","Retail","$500 million to $1 billion (USD)","-1","Sotheby's",277
"232",350,2.3,"Vanda Pharmaceuticals
2.3","Washington, DC","Washington, DC","201 - 500 ",2003,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)","-1","Vanda Pharmaceuticals",18
"233",352,4,"Novetta
4.0","Fort Belvoir, VA","Mc Lean, VA","501 - 1000 ",2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)","Leidos, CACI International, Booz Allen Hamilton","Novetta",9
"234",353,4.1,"CK-12 Foundation
4.1","Palo Alto, CA","Palo Alto, CA","1 - 50 ",2007,"Company - Private","K-12 Education","Education","Unknown / Non-Applicable","-1","CK-12 Foundation",14
"235",356,4.2,"Opinion Dynamics
4.2","San Diego, CA","Waltham, MA","51 - 200 ",1987,"Company - Private","Consulting","Business Services","$10 to $25 million (USD)","-1","Opinion Dynamics",34
"236",357,4.6,"Applied Information Sciences
4.6","Houston, TX","Reston, VA","501 - 1000 ",1982,"Company - Private","IT Services","Information Technology","$50 to $100 million (USD)","-1","Applied Information Sciences",39
"237",358,3.7,"Swiss Re
3.7","Armonk, NY","Zurich, Switzerland","10000+ ",1863,"Company - Public","Insurance Agencies & Brokerages","Insurance","$10+ billion (USD)","Munich Re, Hannover RE, SCOR","Swiss Re",158
"238",362,3.7,"Takeda Pharmaceuticals
3.7","Cambridge, MA","OSAKA, Japan","10000+ ",1781,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Novartis, Baxter, Pfizer","Takeda Pharmaceuticals",240
"239",364,4.4,"WK Dickson
4.4","Columbia, SC","Charlotte, NC","201 - 500 ",1929,"Company - Private","Architectural & Engineering Services","Business Services","$25 to $50 million (USD)","McKim and Creed, CDM Smith, Kimley-Horn","WK Dickson",92
"240",367,3.9,"Genentech
3.9","South San Francisco, CA","South San Francisco, CA","10000+ ",1976,"Subsidiary or Business Segment","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","-1","Genentech",45
"241",368,3.6,"MassMutual
3.6","Springfield, MA","Springfield, MA","5001 - 10000 ",1851,"Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","-1","MassMutual",170
"242",370,3.4,"General Dynamics Information Technology
3.4","Washington, DC","Fairfax, VA","10000+ ",1996,"Subsidiary or Business Segment","IT Services","Information Technology","$10+ billion (USD)","SAIC, Leidos, Northrop Grumman","General Dynamics Information Technology",25
"243",371,4.1,"ManTech
4.1","Herndon, VA","Herndon, VA","5001 - 10000 ",1968,"Company - Public","Research & Development","Business Services","$1 to $2 billion (USD)","-1","ManTech",53
"244",372,3.8,"Novartis
3.8","Cambridge, MA","Basel, Switzerland","10000+ ",1996,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","-1","Novartis",25
"245",375,4,"Autodesk
4.0","San Francisco, CA","San Rafael, CA","5001 - 10000 ",1982,"Company - Public","Computer Hardware & Software","Information Technology","$2 to $5 billion (USD)","-1","Autodesk",39
"246",376,3.9,"Southwest Research Institute
3.9","San Antonio, TX","San Antonio, TX","1001 - 5000 ",1947,"Nonprofit Organization","Research & Development","Business Services","$500 million to $1 billion (USD)","Los Alamos National Laboratory, Battelle, SRI International","Southwest Research Institute",74
"247",377,-1,"Muso","San Francisco, CA","San Francisco, CA","201 - 500 ",-1,"Nonprofit Organization","-1","-1","Unknown / Non-Applicable","-1","Mus",-1
"248",379,4.4,"SpringML
4.4","Indianapolis, IN","Pleasanton, CA","1 - 50 ",2015,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1","SpringML",6
"249",382,2.2,"The Integer Group
2.2","Dallas, TX","Denver, CO","501 - 1000 ",1993,"Subsidiary or Business Segment","Advertising & Marketing","Business Services","$50 to $100 million (USD)","Geometry Global, TracyLocke, Saatchi & Saatchi X","The Integer Group",28
"250",384,4.1,"ManTech
4.1","Portsmouth, VA","Herndon, VA","5001 - 10000 ",1968,"Company - Public","Research & Development","Business Services","$1 to $2 billion (USD)","-1","ManTech",53
"251",387,3.8,"PNNL
3.8","Richland, WA","Richland, WA","1001 - 5000 ",1965,"Government","Energy","Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory","PNNL",56
"252",388,3.6,"MassMutual
3.6","Springfield, MA","Springfield, MA","5001 - 10000 ",1851,"Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","-1","MassMutual",170
"253",391,3.5,"Esri
3.5","Arlington, VA","Redlands, CA","1001 - 5000 ",1969,"Company - Private","Computer Hardware & Software","Information Technology","$1 to $2 billion (USD)","Pitney Bowes","Esri",52
